ParName   Value   Gradient
MGparm[7]      1.8e-05  3.81207e-07
MGparm[8]      2.79999  4.89728e-08
SR_parm[1]      13.6781  9.36133e-05
SR_parm[2]     0.654525  2.44341e-06
SR_parm[3]      1.13719 -1.08719e-06
recdev1(1988)    -0.170465 -2.63029e-06
recdev1(1989)       0.2899 -1.80093e-06
recdev1(1990)     0.851189 -7.27213e-08
recdev1(1991)      1.07228  2.12979e-06
recdev1(1992)      1.06202  3.67374e-06
recdev1(1993)      1.13946  4.44973e-06
recdev1(1994)      1.08297  5.81037e-06
recdev1(1995)      0.57431  4.08463e-06
recdev1(1996)     0.584255  5.99495e-06
recdev1(1997)     0.243661  3.94657e-06
recdev1(1998)    -0.270941  2.46298e-06
recdev1(1999)    -0.602248  1.94523e-06
recdev1(2000)      -1.0278  7.29491e-07
recdev1(2001)    -0.710354  1.71504e-06
recdev1(2002)    -0.551786  1.71672e-06
recdev1(2003)    -0.479263 -2.43332e-06
recdev1(2004)      0.07076 -2.54084e-06
recdev1(2005)   -0.0872071 -2.10992e-06
recdev1(2006)    -0.247846 -1.49444e-06
recdev1(2007)    -0.599368  1.86793e-07
recdev1(2008)    -0.637683  2.56994e-06
recdev1(2009)    -0.382692  4.06905e-06
recdev1(2010)    -0.324442 -1.85137e-08
recdev1(2011)    -0.191096 -1.32638e-06
recdev1(2012)    -0.101541 -3.32073e-06
recdev1(2013)   -0.0453017 -4.94754e-06
recdev1(2014)      0.09542 -4.55691e-06
recdev1(2015)     0.113759  -3.6566e-06
recdev1(2016)     0.185968 -2.44492e-06
recdev1(2017)   -0.0985386 -2.53238e-06
recdev1(2018)    -0.394162 -3.28021e-06
recdev1(2019)    -0.243058 -3.43553e-06
recdev1(2020)    -0.200171 -3.48406e-06
Q_parm[1]    -0.070081  8.47131e-06
selparm[1]      4.02661  6.57184e-07
selparm[2]      1.58893 -2.77505e-08
selparm[3]      4.97337  2.48923e-07
selparm[4]      1.71449  -1.0719e-07
selparm[9]     0.128871 -4.05072e-08
selparm[10]      5.99636 -4.35734e-09
selparm[11]     -0.22852  4.18306e-07
selparm[12]    -0.135689  2.53492e-07
selparm[13]    -0.320497  9.62432e-07
selparm[14]    -0.287497   1.3944e-07
selparm[15]    0.0404451 -1.00206e-08
selparm[16]      0.12552  4.42079e-08
selparm[17]    0.0262134 -3.33479e-07
selparm[18]    -0.181994  1.21188e-07
selparm[19]  -0.00746124  6.52632e-11
selparm[20]    -0.908996 -1.19781e-07
