"Yr" "Seas" "F_report" "Industrial_declarado" "Artesanal_declarado" "Industrial_nd" "Artesanal_nd"
"726" 1992 1 0.220393 0.101367 0.0162672 0.00723623 0.0447725
"727" 1993 1 0.224614 0.109188 0.0280483 0.0366383 0.0534359
"728" 1994 1 0.222969 0.116606 0.031091 0.0386982 0.0562161
"729" 1995 1 0.238439 0.114224 0.0354826 0.0361248 0.0503106
"730" 1996 1 0.217282 0.112057 0.0524504 0.0185147 0.0246722
"731" 1997 1 0.216833 0.107803 0.0320684 0.0148054 0.0389014
"732" 1998 1 0.266391 0.100611 0.018811 0.0272593 0.0537873
"733" 1999 1 0.284769 0.114311 0.0453846 0.0187903 0.0321793
"734" 2000 1 0.352911 0.137498 0.0499036 0.0214678 0.042003
"735" 2001 1 0.446509 0.176453 0.0685828 0.00727903 0.0384808
"736" 2002 1 0.726486 0.241119 0.0770566 0.0540918 0.0916339
"737" 2003 1 1.20678 0.355795 0.109103 0.0895406 0.132886
"738" 2004 1 1.09905 0.407001 0.128325 0.215228 0.0405563
"739" 2005 1 0.838529 0.463674 0.0535075 0.093158 0.0397659
"740" 2006 1 0.890407 0.503431 0.0559619 0.0895546 0.0420586
"741" 2007 1 0.721097 0.384539 0.0773932 0.105651 0.0963287
"742" 2008 1 0.779711 0.305447 0.140707 0.11617 0.0895536
"743" 2009 1 0.902845 0.301857 0.150401 0.0442453 0.237641
"744" 2010 1 0.975345 0.345371 0.190586 0.09512 0.102075
"745" 2011 1 1.04256 0.344221 0.24732 0.0651148 0.169796
"746" 2012 1 0.932147 0.323542 0.233116 0.134538 0.19345
"747" 2013 1 0.86375 0.281237 0.206486 0.136199 0.226151
"748" 2014 1 0.427835 0.106026 0.0961964 0.0476207 0.17942
"749" 2015 1 0.41932 0.0893697 0.074306 0.0158034 0.20772
"750" 2016 1 0.364581 0.0864783 0.0582163 0.0191639 0.142478
"751" 2017 1 0.343822 0.0754061 0.0516155 0.0141541 0.151376
"752" 2018 1 0.356304 0.0679045 0.0482549 0.010846 0.166346
"753" 2019 1 0.359753 0.0811403 0.0446481 0.00541267 0.143871
"754" 2020 1 0.242346 0.0604975 0.0251263 0.0038433 0.0792924
"755" 2021 1 1.31723 0.783774 0 0 0
"756" 2022 1 0.932618 0.625725 0 0 0
"757" 2023 1 0.937731 0.642877 0 0 0
"758" 2024 1 1.18687 0.817774 0 0 0
"759" 2025 1 1.29476 0.911451 0 0 0
"760" 2026 1 1.3261 0.95323 0 0 0
"761" 2027 1 1.45116 1.06242 0 0 0
"762" 2028 1 1.57175 1.17616 0 0 0
"763" 2029 1 1.66744 1.27603 0 0 0
"764" 2030 1 1.77415 1.38634 0 0 0
