"Label" "model1" "model2" "model3" "model4" "model5" "model6" "model7"
"1" "TOTAL_like" 276.283 361.478 137.516 290.7 291.241 291.454 291.676
"2" "Survey_like" -5.2395 -5.61764 -6.41519 -6.689 -5.63223 -5.35548 -5.3939
"3" "Age_comp_like" 252.823 335.246 111.914 259.77 259.841 259.807 260.107
"4" "Parm_priors_like" 26.9699 27.515 29.2066 28.8508 28.3979 28.3711 28.4522
"5" "Recr_Virgin_millions" 647.672 816.747 815.747 708.3 711.646 712.252 711.948
"6" "SR_LN(R0)" 13.3811 13.6131 13.6119 13.4706 13.4753 13.4762 13.4758
"7" "SR_RkrPower_steep" 0.670735 0.81837 0.751245 1.08675 1.08175 1.08257 1.07228
"8" "NatM_p_1_Fem_GP_1" 0.33 0.33 0.33 0.33 0.33 0.33 0.33
"9" "L_at_Amax_Fem_GP_1" 65 65 65 65 65 65 65
"10" "VonBert_K_Fem_GP_1" 0.15 0.15 0.15 0.15 0.15 0.15 0.15
"11" "SSB_Virgin_thousand_mt" 719.599 907.451 906.339 786.96 790.678 791.351 791.013
"12" "Bratio_2017" 0.903097 1.24817 1.08754 1.46261 1.47233 1.47767 1.45081
"13" "SPRratio_2016" 0.537668 0.542786 0.567614 0.540806 0.537511 0.536432 0.540981
