"Año" "BD" "F"
"1" 1992 567147 0.345009
"2" 1993 560228 0.411907
"3" 1994 517914 0.474093
"4" 1995 636004 0.442258
"5" 1996 692171 0.390163
"6" 1997 664648 0.365592
"7" 1998 637195 0.400453
"8" 1999 622167 0.410792
"9" 2000 398860 0.513528
"10" 2001 502593 0.583534
"11" 2002 405300 0.862981
"12" 2003 222553 0.729756
"13" 2004 134165 0.829829
"14" 2005 105607 1.04559
"15" 2006 150175 0.988929
"16" 2007 218249 0.659308
"17" 2008 196142 0.614787
"18" 2009 195050 0.586874
"19" 2010 184699 0.540836
"20" 2011 156928 0.550848
"21" 2012 212314 0.502634
"22" 2013 113473 0.873743
"23" 2014 118563 0.646258
"24" 2015 162236 0.512522
"25" 2016 166331 0.446793
"26" 2017 95982.2 0.462551
"27" 2018 158524 0.378734
"28" 2019 191998 0.285617
"29" 2020 124917 0.46219
