ParName   Value   Gradient
MGparm[7]      1.8e-05 -2.70361e-07
MGparm[8]      2.79998 -2.55138e-08
SR_parm[1]      13.4228 -6.98376e-05
SR_parm[2]     0.628415 -3.47255e-06
SR_parm[3]      1.22783  1.73777e-06
recdev1(1988)    0.0177623  2.30932e-06
recdev1(1989)     0.412404  1.71616e-06
recdev1(1990)     0.910512   1.8319e-07
recdev1(1991)      1.14151  2.83706e-07
recdev1(1992)      1.08594 -9.52107e-07
recdev1(1993)      1.03837  -1.1085e-06
recdev1(1994)     0.918975 -1.86049e-06
recdev1(1995)     0.407203 -8.91821e-07
recdev1(1996)     0.348319  -1.0025e-06
recdev1(1997)    0.0187471  5.52363e-07
recdev1(1998)    -0.336911 -1.88758e-07
recdev1(1999)    -0.681888 -3.24127e-06
recdev1(2000)     -1.07993 -2.74928e-06
recdev1(2001)    -0.718288  1.81363e-06
recdev1(2002)    -0.519749 -6.49209e-06
recdev1(2003)     -0.35054 -2.64203e-06
recdev1(2004)     0.144486  1.72283e-07
recdev1(2005)    0.0109534   3.1963e-06
recdev1(2006)   -0.0691396 -1.32241e-06
recdev1(2007)    -0.497249 -6.23794e-06
recdev1(2008)    -0.598074 -5.71857e-06
recdev1(2009)    -0.379824   -4.248e-06
recdev1(2010)    -0.364093 -2.36433e-06
recdev1(2011)    -0.218805  2.48554e-06
recdev1(2012)   -0.0177783  4.76742e-06
recdev1(2013)    0.0722757  4.90187e-06
recdev1(2014)     0.312513  2.68594e-06
recdev1(2015)    -0.596284  2.19533e-06
recdev1(2016)    -0.210969  2.14302e-06
recdev1(2017)    -0.200448  2.20401e-06
Q_parm[1]     0.371907 -1.04985e-06
Q_parm[2]     0.244904 -7.18767e-08
selparm[1]      3.93565  -1.3413e-06
selparm[2]       1.5671  7.48219e-07
selparm[3]      4.77629 -4.32655e-07
selparm[4]      1.63332  2.98084e-07
selparm[5]      1.99858 -9.94643e-06
selparm[6]    0.0114325 -5.95503e-08
selparm[7]    -0.218078 -2.18225e-06
selparm[8]    -0.177411  1.00839e-06
selparm[9]    -0.208405 -1.35736e-06
selparm[10]     -0.16634  4.66377e-08
selparm[11]   -0.0154008  1.37189e-06
selparm[12]  -0.00348503  5.91596e-08
