"Label","Value","StdDev","(Val-1.0)/Stddev","CumNorm"
"SSB_Virgin","SSB_Virgin",719599,75275.3,NA,NA
"SSB_Initial","SSB_Initial",719599,75275.3,NA,NA
"SSB_1992","SSB_1992",744041,73197.4,NA,NA
"SSB_1993","SSB_1993",849824,80759.5,NA,NA
"SSB_1994","SSB_1994",1057960,93140.9,NA,NA
"SSB_1995","SSB_1995",1235190,101586,NA,NA
"SSB_1996","SSB_1996",1332950,102793,NA,NA
"SSB_1997","SSB_1997",1342290,97644,NA,NA
"SSB_1998","SSB_1998",1229590,86453.2,NA,NA
"SSB_1999","SSB_1999",1077870,73193.8,NA,NA
"SSB_2000","SSB_2000",895728,59917.7,NA,NA
"SSB_2001","SSB_2001",701907,46920,NA,NA
"SSB_2002","SSB_2002",508864,34633.3,NA,NA
"SSB_2003","SSB_2003",342233,24373.7,NA,NA
"SSB_2004","SSB_2004",217757,16779.6,NA,NA
"SSB_2005","SSB_2005",180797,14652.9,NA,NA
"SSB_2006","SSB_2006",182110,14712.1,NA,NA
"SSB_2007","SSB_2007",204983,15820.6,NA,NA
"SSB_2008","SSB_2008",221832,16663.4,NA,NA
"SSB_2009","SSB_2009",216074,15978.5,NA,NA
"SSB_2010","SSB_2010",190338,14394.4,NA,NA
"SSB_2011","SSB_2011",155633,12478.2,NA,NA
"SSB_2012","SSB_2012",142729,12531.1,NA,NA
"SSB_2013","SSB_2013",141438,15011.1,NA,NA
"SSB_2014","SSB_2014",141874,19390.6,NA,NA
"SSB_2015","SSB_2015",173652,26364.2,NA,NA
"SSB_2016","SSB_2016",209725,35284,NA,NA
"SSB_2017","SSB_2017",259947,48277.4,NA,NA
"SSB_2018","SSB_2018",310287,62936.3,NA,NA
"SSB_2019","SSB_2019",361708,79782.4,NA,NA
"SSB_2020","SSB_2020",377749,91092.3,NA,NA
"SSB_2021","SSB_2021",349197,90790.6,NA,NA
"SSB_2022","SSB_2022",338001,90280.3,NA,NA
"SSB_2023","SSB_2023",284337,83728,NA,NA
"SSB_2024","SSB_2024",280302,95550,NA,NA
"SSB_2025","SSB_2025",283426,106595,NA,NA
"SSB_2026","SSB_2026",280409,145975,NA,NA
"SSB_2027","SSB_2027",272363,174001,NA,NA
"SSB_2028","SSB_2028",260470,200466,NA,NA
"SSB_2029","SSB_2029",247810,225661,NA,NA
"SSB_2030","SSB_2030",235031,250659,NA,NA
"SSB_2031","SSB_2031",222075,276642,NA,NA
"Recr_Virgin","Recr_Virgin",647672,67751.2,NA,NA
"Recr_Initial","Recr_Initial",647672,67751.2,NA,NA
"Recr_1992","Recr_1992",1721920,200717,NA,NA
"Recr_1993","Recr_1993",1648110,182203,NA,NA
"Recr_1994","Recr_1994",1466480,161577,NA,NA
"Recr_1995","Recr_1995",882135,113094,NA,NA
"Recr_1996","Recr_1996",833632,104226,NA,NA
"Recr_1997","Recr_1997",601615,80795.8,NA,NA
"Recr_1998","Recr_1998",422502,61656,NA,NA
"Recr_1999","Recr_1999",296106,46384.4,NA,NA
"Recr_2000","Recr_2000",197066,33783.9,NA,NA
"Recr_2001","Recr_2001",277727,37754.3,NA,NA
"Recr_2002","Recr_2002",337695,40548.2,NA,NA
"Recr_2003","Recr_2003",375758,43215.2,NA,NA
"Recr_2004","Recr_2004",515424,51859.5,NA,NA
"Recr_2005","Recr_2005",409124,44181.5,NA,NA
"Recr_2006","Recr_2006",380297,41126.8,NA,NA
"Recr_2007","Recr_2007",265319,32299.7,NA,NA
"Recr_2008","Recr_2008",250927,30743,NA,NA
"Recr_2009","Recr_2009",308912,36072.3,NA,NA
"Recr_2010","Recr_2010",289047,38720.5,NA,NA
"Recr_2011","Recr_2011",292812,44915.8,NA,NA
"Recr_2012","Recr_2012",332989,56341.5,NA,NA
"Recr_2013","Recr_2013",374740,70017.3,NA,NA
"Recr_2014","Recr_2014",489020,99056,NA,NA
"Recr_2015","Recr_2015",490138,110400,NA,NA
"Recr_2016","Recr_2016",572655,143215,NA,NA
"Recr_2017","Recr_2017",422848,128943,NA,NA
"Recr_2018","Recr_2018",303097,128772,NA,NA
"Recr_2019","Recr_2019",372856,200308,NA,NA
"Recr_2020","Recr_2020",466889,276565,NA,NA
"Recr_2021","Recr_2021",466889,276565,NA,NA
"Recr_2022","Recr_2022",466889,276565,NA,NA
"Recr_2023","Recr_2023",466889,276565,NA,NA
"Recr_2024","Recr_2024",466889,276565,NA,NA
"Recr_2025","Recr_2025",466889,276565,NA,NA
"Recr_2026","Recr_2026",466889,276565,NA,NA
"Recr_2027","Recr_2027",466889,276565,NA,NA
"Recr_2028","Recr_2028",466889,276565,NA,NA
"Recr_2029","Recr_2029",466889,276565,NA,NA
"Recr_2030","Recr_2030",466889,276565,NA,NA
"Recr_2031","Recr_2031",466889,276565,NA,NA
"SPRratio_1992","SPRratio_1992",0.328856,0.0187062,-35.8783,3.85359e-282
"SPRratio_1993","SPRratio_1993",0.34848,0.0199827,-32.6043,2.03779e-233
