"Año" "BT" "BA" "BD" "R" "F" "Mj" "RPD" "RPD_ref"
"1" 1992 1047120 805637 567147 829872 0.345009 0 0.963547 0.54014
"2" 1993 1063100 809668 560228 980904 0.411907 0 0.864329 0.533551
"3" 1994 1011050 756041 517914 1082970 0.474093 0 0.795771 0.493252
"4" 1995 1262530 915426 636004 1058680 0.442258 0 0.750488 0.605718
"5" 1996 1303910 979365 692171 1072520 0.390163 0 0.732624 0.659211
"6" 1997 1262640 925814 664648 690513 0.365592 0 0.71245 0.632998
"7" 1998 1144890 904752 637195 667736 0.400453 0.00740818 0.690044 0.606852
"8" 1999 1066810 893490 622167 629910 0.410792 0.0222245 0.66412 0.59254
"9" 2000 977881 600716 398860 858497 0.513528 0.0148164 0.574195 0.379867
"10" 2001 1718620 887184 502593 3564100 0.583534 0.0444491 0.568353 0.47866
"11" 2002 1383640 764686 405300 277458 0.862981 0.348185 0.692293 0.386
"12" 2003 621720 574049 222553 705119 0.729756 0.622287 0.678049 0.211955
"13" 2004 375081 319027 134165 1135660 0.829829 0.32596 0.538051 0.127776
"14" 2005 391140 262425 105607 1343500 1.04559 0.422266 0.534217 0.100578
"15" 2006 518235 310006 150175 1718440 0.988929 0.222245 0.618475 0.143024
"16" 2007 657705 497687 218249 1662390 0.659308 0.48894 0.647114 0.207856
"17" 2008 655997 398889 196142 1989770 0.614787 0.311144 0.6766 0.186801
"18" 2009 571803 372940 195050 1062890 0.586874 0.296327 0.709883 0.185762
"19" 2010 511317 348715 184699 1054800 0.540836 0.274103 0.711062 0.175904
"20" 2011 696474 363153 156928 2476480 0.550848 0.459307 0.649971 0.149456
"21" 2012 885802 608699 212314 3207050 0.502634 0.881574 0.702798 0.202203
"22" 2013 572070 403406 113473 1919350 0.873743 1.10382 0.754723 0.10807
"23" 2014 469163 226596 118563 1324470 0.646258 0.274103 0.764319 0.112917
"24" 2015 553904 335165 162236 1654150 0.512522 0.466715 0.775357 0.15451
"25" 2016 616642 373390 166331 2088720 0.446793 0.607471 0.78662 0.158411
"26" 2017 493789 183250 95982.2 858137 0.462551 0.318552 0.731928 0.0914116
"27" 2018 509274 263220 158524 674576 0.378734 0.170388 0.753811 0.150975
"28" 2019 774336 316253 191998 1456600 0.285617 0.140755 0.695663 0.182856
"29" 2020 1038420 398145 124917 2116410 0.46219 1.04455 0.721557 0.118968
