ParName   Value   Gradient
MGparm[7]      1.8e-05  3.51721e-07
MGparm[8]      2.79991   7.7425e-08
SR_parm[1]      13.6092  8.00051e-05
SR_parm[2]      0.74661 -3.71461e-06
SR_parm[3]      1.18995  1.10439e-06
recdev1(1988)    -0.143608  6.34933e-08
recdev1(1989)     0.339625  1.08278e-05
recdev1(1990)     0.904431  6.73186e-06
recdev1(1991)      1.11475  7.64472e-06
recdev1(1992)      1.16413  9.48028e-06
recdev1(1993)      1.20698  1.24938e-05
recdev1(1994)      1.16911  1.44663e-05
recdev1(1995)     0.640696  6.86285e-06
recdev1(1996)     0.666059  1.33466e-05
recdev1(1997)     0.330462  7.55102e-06
recdev1(1998)    -0.206264  3.19955e-06
recdev1(1999)    -0.557635  2.39752e-06
recdev1(2000)    -0.979463  1.31501e-06
recdev1(2001)    -0.620531 -7.18609e-06
recdev1(2002)    -0.448405  1.68981e-06
recdev1(2003)    -0.449046 -6.46056e-06
recdev1(2004)    0.0424498 -9.79352e-06
recdev1(2005)    -0.139568 -7.07525e-06
recdev1(2006)    -0.296916 -7.95555e-06
recdev1(2007)    -0.641045 -1.12351e-05
recdev1(2008)    -0.668757 -6.43641e-07
recdev1(2009)    -0.402589 -4.05439e-06
recdev1(2010)    -0.334669 -2.42965e-06
recdev1(2011)    -0.199063  1.34439e-06
recdev1(2012)    -0.116491 -4.85168e-06
recdev1(2013)   -0.0446321  -1.0415e-06
recdev1(2014)    0.0886211  -6.5057e-06
recdev1(2015)    0.0821523 -1.20431e-06
recdev1(2016)     0.082187  3.01676e-06
recdev1(2017)     -0.28252  4.30482e-07
recdev1(2018)    -0.560001 -3.39746e-06
recdev1(2019)    -0.431231   4.2413e-07
recdev1(2020)    -0.309217  3.45335e-07
Q_parm[1]    -0.183561  2.70435e-05
selparm[1]      4.16184  1.38482e-06
selparm[2]      1.65436  4.10709e-07
selparm[3]      5.01292  5.97241e-07
selparm[4]      1.74364    5.308e-07
selparm[9]     0.977754 -5.09781e-06
selparm[10]    0.0100551 -4.49982e-07
selparm[11]    -0.279881  1.41376e-06
selparm[12]    -0.202199  2.00026e-06
selparm[13]    -0.348128  2.70441e-06
selparm[14]    -0.339898  1.61189e-06
selparm[15]    0.0783589  2.86291e-07
selparm[16]     0.047655  5.62265e-08
selparm[17]    0.0109812  2.80192e-06
selparm[18]    -0.193089  2.95002e-08
selparm[19]    0.0454297 -4.30064e-06
selparm[20]   -0.0136995  4.72431e-07
