"año" "ssb" "F"
"1" 1992 885769 0.192316
"2" 1993 996559 0.191327
"3" 1994 1219480 0.187422
"4" 1995 1438520 0.192005
"5" 1996 1616830 0.173813
"6" 1997 1741740 0.175615
"7" 1998 1657400 0.217354
"8" 1999 1481970 0.231463
"9" 2000 1282480 0.284932
"10" 2001 1016890 0.352009
"11" 2002 751510 0.56905
"12" 2003 493899 0.94574
"13" 2004 311519 0.824409
"14" 2005 257267 0.607737
"15" 2006 261952 0.637434
"16" 2007 303977 0.530448
"17" 2008 330757 0.576783
"18" 2009 316089 0.677942
"19" 2010 270481 0.739361
"20" 2011 231933 0.790295
"21" 2012 224865 0.726464
"22" 2013 234303 0.705748
"23" 2014 247118 0.369869
"24" 2015 293232 0.367359
"25" 2016 335589 0.315163
"26" 2017 391078 0.295205
"27" 2018 447551 0.290679
"28" 2019 497911 0.274217
"29" 2020 504773 0.310657
"30" 2021 464325 0.222657
