ParName   Value   Gradient
MGparm[7]      1.8e-05     -7.93007
MGparm[8]      2.70003    -0.965619
SR_parm[1]      14.1556     -1956.71
SR_parm[2]     0.679557      46.3697
SR_parm[3]      1.17328     -5.22396
recdev1(1988)      0.16137       35.465
recdev1(1989)     0.465211      88.8565
recdev1(1990)     0.860336     -19.8257
recdev1(1991)      1.14988     -107.438
recdev1(1992)      1.09613     -121.338
recdev1(1993)      1.10104     -209.375
recdev1(1994)     0.936632     -193.122
recdev1(1995)     0.334047     -157.243
recdev1(1996)     0.287812     -195.049
recdev1(1997)    -0.168843      -230.71
recdev1(1998)    -0.404498     -27.4536
recdev1(1999)     -0.68709     -40.2386
recdev1(2000)     -1.07366     -38.4671
recdev1(2001)     -0.72032     -74.6528
recdev1(2002)    -0.543223     -42.7094
recdev1(2003)    -0.305943      194.408
recdev1(2004)     0.103312      22.6298
recdev1(2005)    -0.275986     -151.034
recdev1(2006)    -0.211388      139.952
recdev1(2007)    -0.622707      70.7689
recdev1(2008)    -0.728457      7.17679
recdev1(2009)    -0.361736       179.05
recdev1(2010)    -0.338733      91.7373
recdev1(2011)    -0.305511      21.4279
recdev1(2012)   -0.0741944      173.421
recdev1(2013)   -0.0625721      102.192
recdev1(2014)    0.0737215       95.307
recdev1(2015)   -0.0186328      44.9872
recdev1(2016)    0.0135235      62.8409
recdev1(2017)    -0.528968       36.998
recdev1(2018)   -0.0793387      79.9607
recdev1(2019)     0.565701      88.7945
recdev1(2020)     0.363076      75.5706
Q_parm[1]     0.396864      714.242
Q_parm[2]    0.0129873     -10.9409
selparm[1]      2.27032      224.928
selparm[2]     0.338869     -96.8099
selparm[3]      3.20574       -66.65
selparm[4]      2.48116     -6.84005
selparm[5]     0.565843     -14.8266
selparm[6]    -0.436921      80.0655
selparm[7]            3  -0.00181391
selparm[8]     0.996032     -0.38813
selparm[9]      4.83197     -10.9693
selparm[10]     0.596776     -1.77604
selparm[11]      4.89907     -15.7272
selparm[12]     0.285663     -2.97475
selparm[13]      2.01668     -77.2271
selparm[14]    0.0117712      4.29744
selparm[15]  -0.00126157      746.163
selparm[16]   2.9476e-06     -17.1616
selparm[17]  6.40685e-05      -14.499
selparm[18]  4.41646e-06     -1.01432
selparm[19]  7.12618e-06       13.999
selparm[20]  2.42907e-07     0.487103
selparm[21] -0.000726389      151.308
selparm[22]  2.50328e-07    -0.232796
