ParName   Value   Gradient
MGparm[7]      1.8e-05 -9.45088e-08
MGparm[8]      2.79999  4.08332e-10
SR_parm[1]      13.7119 -3.00879e-05
SR_parm[2]     0.629457 -2.21216e-08
SR_parm[3]      1.20876   -4.556e-08
recdev1(1988)    -0.120261  -4.6203e-07
recdev1(1989)     0.335736 -1.68221e-06
recdev1(1990)     0.878306  1.50891e-06
recdev1(1991)      1.07532  1.70609e-06
recdev1(1992)      1.06466   1.3702e-06
recdev1(1993)      1.08959 -8.46064e-07
recdev1(1994)      1.02383  6.18072e-08
recdev1(1995)     0.495293  9.50947e-07
recdev1(1996)     0.505493  3.35595e-07
recdev1(1997)      0.16831  3.80494e-07
recdev1(1998)    -0.350703  1.35408e-06
recdev1(1999)    -0.672002  1.37608e-06
recdev1(2000)     -1.07501  2.41196e-06
recdev1(2001)    -0.720815  4.88695e-06
recdev1(2002)    -0.538231  4.95503e-06
recdev1(2003)    -0.464591  6.42785e-06
recdev1(2004)     0.101492  3.28099e-06
recdev1(2005)   -0.0582752  5.30017e-06
recdev1(2006)    -0.216317  2.45174e-06
recdev1(2007)    -0.581031 -3.88908e-08
recdev1(2008)    -0.621892  1.06494e-06
recdev1(2009)    -0.362858  4.04082e-06
recdev1(2010)    -0.293632   2.6806e-06
recdev1(2011)     -0.16011  1.59047e-06
recdev1(2012)   -0.0649999    3.321e-06
recdev1(2013)     0.008546   3.8579e-06
recdev1(2014)     0.156682  3.40362e-06
recdev1(2015)     0.146728  3.12811e-06
recdev1(2016)     0.184842  3.66763e-06
recdev1(2017)     -0.11721  3.13788e-06
recdev1(2018)    -0.408566    3.465e-06
recdev1(2019)    -0.228249  3.65044e-06
recdev1(2020)    -0.180072  3.64399e-06
Q_parm[1]     0.238387 -2.12435e-06
Q_parm[2]     0.128664 -4.45257e-08
selparm[1]      4.00655 -1.56384e-07
selparm[2]      1.59224  3.58094e-07
selparm[3]      4.88816 -8.80947e-07
selparm[4]      1.67091  6.93549e-07
selparm[11]      6.37002  9.97261e-08
selparm[12]       1.4775  4.60697e-08
selparm[15]    -0.215072 -7.24438e-07
selparm[16]    -0.129567  7.88854e-07
selparm[17]    -0.289878 -2.83632e-06
selparm[18]    -0.240674  9.05289e-07
selparm[19]    0.0311154 -7.94106e-08
selparm[20]     0.192869 -6.30659e-08
selparm[21]   -0.0135128  -9.5084e-08
selparm[22]    -0.078154  3.46134e-08
