"Label" "model1" "model2" "model3" "model4" "model5" "model6" "model7"
"1" "TOTAL_like" 193.602 192.346 131.716 129.903 129.901 130.525 129.996
"2" "Survey_like" -3.33957 -3.88781 -5.88349 -6.0647 -5.42804 -4.69873 -5.44539
"3" "Age_comp_like" 172.275 171.547 107.356 106.562 107.352 106.833 107.584
"4" "Parm_priors_like" 26.2854 26.3667 28.2961 27.5891 26.9426 26.9362 26.9585
"5" "Recr_Virgin_millions" 751.242 1069.6 849.778 873.762 899.871 890.583 901.544
"6" "SR_LN(R0)" 13.5295 13.8828 13.6527 13.6806 13.71 13.6996 13.7119
"7" "SR_RkrPower_steep" 0.539074 0.521411 0.690072 0.673135 0.633925 0.657879 0.629457
"8" "NatM_p_1_Fem_GP_1" 0.33 0.33 0.33 0.33 0.33 0.33 0.33
"9" "L_at_Amax_Fem_GP_1" 65 65 65 65 65 65 65
"10" "VonBert_K_Fem_GP_1" 0.15 0.15 0.15 0.15 0.15 0.15 0.15
"11" "SSB_Virgin_thousand_mt" 834.671 1188.38 944.15 970.797 999.806 989.486 1001.66
"12" "Bratio_2017" 0.597566 0.643312 0.889457 0.837354 0.781953 0.821214 0.77709
"13" "SPRratio_2016" 0.621712 0.666822 0.629329 0.649695 0.663309 0.651223 0.664066
